Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
			464	-3.899E+6	10.70E+6	-4.896E+6	70.66E+6
67	C3		464	-3.622E+6	11.75E+6	-2.593E+6	56.03E+6
			485	-3.622E+6	11.75E+6	-2.593E+6	118.4E+6
68	C3		464	3.390E+6	12.18E+6	2.428E+6	56.76E+6
			465	3.390E+6	12.18E+6	2.428E+6	121.8E+6
70	C3		465	-3.785E+6	41.85E+6	-2.353E+6	179.8E+6
			486	-3.785E+6	41.85E+6	-2.353E+6	245.4E+6
71	C3		465	-7.058E+6	-28.79E+6	-8.611E+6	212.5E+6
			466	-7.058E+6	-28.79E+6	-8.611E+6	144.9E+6
73	C3		466	1.311E+6	6.418E+6	8.845E+6	32.34E+6
			487	1.311E+6	6.418E+6	8.845E+6	61.81E+6
74	C3		466	-2.056E+6	-29.61E+6	-3.191E+6	140.0E+6
			467	-2.056E+6	-29.61E+6	-3.191E+6	148.4E+6
76	C3		467	-293000.	-4.633E+6	265700.	31.74E+6
			488	-293000.	-4.633E+6	265700.	16.46E+6
77	C3		467	-594700.	-22.46E+6	453100.	108.9E+6
			468	-594700.	-22.46E+6	453100.	140.2E+6
79	C3		468	-356700.	-5.738E+6	-1.353E+6	35.86E+6
			489	-356700.	-5.738E+6	-1.353E+6	28.81E+6
80	C3		468	-422900.	-15.91E+6	1.275E+6	91.63E+6
			469	-422900.	-15.91E+6	1.275E+6	128.1E+6
82	C3		469	81260.	-5.266E+6	-1.443E+6	33.08E+6
			490	81260.	-5.266E+6	-1.443E+6	27.10E+6
83	C3		469	-712500.	-10.20E+6	1.070E+6	77.17E+6
			470	-712500.	-10.20E+6	1.070E+6	115.6E+6
85	C3		470	614500.	-4.389E+6	-1.228E+6	29.73E+6
			491	614500.	-4.389E+6	-1.228E+6	24.56E+6
86	C3		470	-1.051E+6	-4.988E+6	681700.	61.66E+6
			471	-1.051E+6	-4.988E+6	681700.	101.0E+6
88	C3		471	1.023E+6	-3.282E+6	-1.057E+6	24.76E+6
			492	1.023E+6	-3.282E+6	-1.057E+6	20.27E+6
89	C3		471	-1.267E+6	-199100.	461900.	82.59E+6
			472	-1.267E+6	-199100.	461900.	83.77E+6
91	C3		472	1.219E+6	-2.024E+6	-1.057E+6	18.07E+6
			493	1.219E+6	-2.024E+6	-1.057E+6	13.97E+6
