Arup

Steel Design
Vieerendeel Roof
Example

File Steel_Design_Complex.gwb
Exported 04/12/2014 13:36:00

GSA 8.7.0.36 64-bit Copyright © Oasys 1985-2014

Beam Derived Stresses
Stresses are calculated only for elements that have unmodified Area, Iyy and Izz or for which
the 'Stress Calc. Basis' is specified as 'Section'.
The 'Stress Calc. Basis' is reported only for sections that have modified Area, Iyy or Izz.

+ve stresses:  tensile

SEy and SEz are the maximum elastic shear stresses.  (Refer to the GSA manual for details.)

Torsional stress:  St = Mxx/Ct
- where Ct is the 'torsion modulus'.  (Refer to the GSA manual for details.)

Von Mises stress:  This is calculated assuming the maximum through thickness stress and torsional stress coexist.
In most cases this is an over-estimate of the von Mises stress.

Case list:  C3 : ULS3

START_TABLE Beam Derived Stresses
Elem	Case	Stress Calc. Basis	Pos	SEy	SEz	St	Von Mises
				[Pa]	[Pa]	[Pa]	[Pa]
739	C3		691	-8484.	3.600E+6	3.220E+6	20.49E+6
			692	-8484.	3.600E+6	3.220E+6	23.71E+6
741	C3		692	-143900.	-2.690E+6	-2.805E+6	127.3E+6
			713	-143900.	-2.690E+6	-2.805E+6	148.6E+6
742	C3		692	118400.	2.084E+6	2.239E+6	10.28E+6
			693	118400.	2.084E+6	2.239E+6	14.85E+6
744	C3		693	-256100.	-1.168E+6	-2.330E+6	133.5E+6
			714	-256100.	-1.168E+6	-2.330E+6	141.7E+6
746	C3		694	-263500.	12.16E+6	-2.113E+6	78.76E+6
			715	-263500.	12.16E+6	-2.113E+6	71.00E+6
747	C3		694	62180.	2.821E+6	1.956E+6	18.18E+6
			695	62180.	2.821E+6	1.956E+6	13.44E+6
749	C3		695	28230.	14.86E+6	-3.213E+6	91.19E+6
			716	28230.	14.86E+6	-3.213E+6	80.67E+6
750	C3		695	-635600.	4.256E+6	3.042E+6	27.41E+6
			696	-635600.	4.256E+6	3.042E+6	28.36E+6
752	C3		696	1.165E+6	18.47E+6	-4.146E+6	114.9E+6
			717	1.165E+6	18.47E+6	-4.146E+6	96.65E+6
753	C3		696	-2.141E+6	3.581E+6	3.155E+6	29.39E+6
			697	-2.141E+6	3.581E+6	3.155E+6	38.98E+6
755	C3		697	2.899E+6	22.16E+6	-3.549E+6	144.7E+6
			718	2.899E+6	22.16E+6	-3.549E+6	113.7E+6
756	C3		697	-4.186E+6	272900.	1.381E+6	37.35E+6
			698	-4.186E+6	272900.	1.381E+6	40.09E+6
758	C3		698	3.502E+6	23.70E+6	-96710.	153.7E+6
			719	3.502E+6	23.70E+6	-96710.	111.8E+6
759	C3		698	-3.001E+6	-4.437E+6	-1.562E+6	50.55E+6
			699	-3.001E+6	-4.437E+6	-1.562E+6	32.66E+6
761	C3		699	4.343E+6	21.83E+6	4.085E+6	152.6E+6
			720	4.343E+6	21.83E+6	4.085E+6	117.7E+6
762	C3		699	-5.707E+6	-8.738E+6	-4.492E+6	72.67E+6
			700	-5.707E+6	-8.738E+6	-4.492E+6	61.64E+6
764	C3		700	6.015E+6	18.08E+6	6.112E+6	133.9E+6
			721	6.015E+6	18.08E+6	6.112E+6	112.4E+6
765	C3		700	-6.547E+6	-11.17E+6	-5.719E+6	86.47E+6
			701	-6.547E+6	-11.17E+6	-5.719E+6	79.54E+6
767	C3		701	6.481E+6	13.59E+6	6.245E+6	109.9E+6
			722	6.481E+6	13.59E+6	6.245E+6	97.65E+6
768	C3		701	-6.634E+6	-11.61E+6	-5.660E+6	93.43E+6
			702	-6.634E+6	-11.61E+6	-5.660E+6	96.28E+6
770	C3		702	6.383E+6	9.470E+6	5.411E+6	90.75E+6
			723	6.383E+6	9.470E+6	5.411E+6	81.96E+6
771	C3		702	-6.458E+6	-10.72E+6	-5.001E+6	94.09E+6
			703	-6.458E+6	-10.72E+6	-5.001E+6	104.6E+6
773	C3		703	6.016E+6	6.448E+6	4.234E+6	79.49E+6
			724	6.016E+6	6.448E+6	4.234E+6	69.94E+6
774	C3		703	-6.092E+6	-9.421E+6	-4.145E+6	91.01E+6
			704	-6.092E+6	-9.421E+6	-4.145E+6	109.2E+6
776	C3		704	5.460E+6	4.827E+6	3.170E+6	76.81E+6
			725	5.460E+6	4.827E+6	3.170E+6	63.98E+6
777	C3		704	-5.557E+6	-5.979E+6	-3.227E+6	76.05E+6
			705	-5.557E+6	-5.979E+6	-3.227E+6	101.3E+6
779	C3		705	4.744E+6	3.178E+6	2.115E+6	76.12E+6
			726	4.744E+6	3.178E+6	2.115E+6	58.25E+6
780	C3		705	-4.875E+6	-1.892E+6	-2.243E+6	69.69E+6
			706	-4.875E+6	-1.892E+6	-2.243E+6	85.04E+6
782	C3		706	3.883E+6	2.622E+6	894000.	82.08E+6
			727	3.883E+6	2.622E+6	894000.	60.92E+6
783	C3		706	-4.050E+6	1.690E+6	-1.145E+6	78.86E+6
			707	-4.050E+6	1.690E+6	-1.145E+6	65.25E+6
785	C3		707	2.895E+6	2.784E+6	-323900.	93.21E+6
			728	2.895E+6	2.784E+6	-323900.	70.43E+6
786	C3		707	-3.053E+6	4.433E+6	103000.	80.77E+6
			708	-3.053E+6	4.433E+6	103000.	59.42E+6
788	C3		708	1.797E+6	3.353E+6	-1.537E+6	107.6E+6
			729	1.797E+6	3.353E+6	-1.537E+6	80.08E+6
789	C3		708	-1.784E+6	6.299E+6	1.500E+6	76.06E+6
			709	-1.784E+6	6.299E+6	1.500E+6	59.26E+6
791	C3		709	911800.	3.909E+6	-2.639E+6	122.3E+6
			730	911800.	3.909E+6	-2.639E+6	90.25E+6
792	C3		709	-802400.	7.301E+6	2.869E+6	68.80E+6
			710	-802400.	7.301E+6	2.869E+6	55.03E+6
794	C3		710	1.220E+6	4.090E+6	-3.486E+6	137.3E+6
			731	1.220E+6	4.090E+6	-3.486E+6	103.8E+6
795	C3		710	-2.473E+6	7.444E+6	3.711E+6	67.23E+6
			711	-2.473E+6	7.444E+6	3.711E+6	58.03E+6
797	C3		711	1.858E+6	4.374E+6	-3.961E+6	153.7E+6
			732	1.858E+6	4.374E+6	-3.961E+6	118.3E+6
798	C3		711	-2.365E+6	6.864E+6	3.989E+6	53.52E+6
			712	-2.365E+6	6.864E+6	3.989E+6	52.96E+6
800	C3		712	425500.	5.106E+6	-4.027E+6	152.8E+6
			733	425500.	5.106E+6	-4.027E+6	111.2E+6
801	C3		712	877100.	5.446E+6	3.725E+6	33.61E+6
			713	877100.	5.446E+6	3.725E+6	37.31E+6
803	C3		713	-985800.	6.165E+6	-3.751E+6	167.6E+6
			734	-985800.	6.165E+6	-3.751E+6	116.0E+6
804	C3		713	601400.	3.256E+6	2.630E+6	16.03E+6
			714	601400.	3.256E+6	2.630E+6	24.22E+6
806	C3		714	-719800.	8.755E+6	-3.303E+6	176.1E+6
			735	-719800.	8.755E+6	-3.303E+6	102.9E+6
808	C3		715	-967500.	10.83E+6	-3.004E+6	60.91E+6
			736	-967500.	10.83E+6	-3.004E+6	62.83E+6
809	C3		715	928600.	4.660E+6	2.717E+6	34.10E+6
			716	928600.	4.660E+6	2.717E+6	22.87E+6
811	C3		716	-936000.	14.70E+6	-4.379E+6	76.01E+6
			737	-936000.	14.70E+6	-4.379E+6	78.93E+6
812	C3		716	45680.	8.153E+6	4.534E+6	49.57E+6
			717	45680.	8.153E+6	4.534E+6	45.84E+6
814	C3		717	226800.	20.84E+6	-6.720E+6	100.5E+6
			738	226800.	20.84E+6	-6.720E+6	99.10E+6
815	C3		717	-1.331E+6	9.116E+6	5.939E+6	57.47E+6
			718	-1.331E+6	9.116E+6	5.939E+6	70.89E+6
817	C3		718	2.246E+6	30.45E+6	-8.489E+6	155.5E+6
			739	2.246E+6	30.45E+6	-8.489E+6	148.8E+6
818	C3		718	-4.059E+6	4.042E+6	3.961E+6	42.65E+6
			719	-4.059E+6	4.042E+6	3.961E+6	76.23E+6
820	C3		719	2.847E+6	36.59E+6	-1.965E+6	217.2E+6
			740	2.847E+6	36.59E+6	-1.965E+6	164.7E+6
821	C3		719	-2.115E+6	-6.598E+6	-2.651E+6	78.56E+6
			720	-2.115E+6	-6.598E+6	-2.651E+6	41.70E+6
823	C3		720	3.860E+6	32.83E+6	7.326E+6	186.7E+6
			741	3.860E+6	32.83E+6	7.326E+6	149.6E+6
824	C3		720	-5.783E+6	-14.30E+6	-7.078E+6	111.8E+6
			721	-5.783E+6	-14.30E+6	-7.078E+6	92.44E+6
826	C3		721	5.933E+6	24.22E+6	9.007E+6	146.3E+6
			742	5.933E+6	24.22E+6	9.007E+6	130.7E+6
827	C3		721	-6.492E+6	-17.09E+6	-7.720E+6	110.0E+6
			722	-6.492E+6	-17.09E+6	-7.720E+6	105.5E+6
829	C3		722	6.259E+6	16.31E+6	7.658E+6	102.7E+6
			743	6.259E+6	16.31E+6	7.658E+6	103.8E+6
830	C3		722	-6.382E+6	-16.48E+6	-6.569E+6	112.7E+6
			723	-6.382E+6	-16.48E+6	-6.569E+6	118.8E+6
832	C3		723	5.961E+6	10.58E+6	5.574E+6	80.32E+6
			744	5.961E+6	10.58E+6	5.574E+6	81.62E+6
833	C3		723	-6.015E+6	-14.26E+6	-5.034E+6	108.6E+6
			724	-6.015E+6	-14.26E+6	-5.034E+6	124.5E+6
835	C3		724	5.398E+6	7.033E+6	3.805E+6	69.98E+6
			745	5.398E+6	7.033E+6	3.805E+6	67.15E+6
836	C3		724	-5.456E+6	-11.52E+6	-3.621E+6	100.6E+6
			725	-5.456E+6	-11.52E+6	-3.621E+6	124.1E+6
838	C3		725	4.638E+6	4.810E+6	2.221E+6	66.23E+6
			746	4.638E+6	4.810E+6	2.221E+6	57.93E+6
839	C3		725	-4.727E+6	-7.994E+6	-2.336E+6	85.99E+6
			726	-4.727E+6	-7.994E+6	-2.336E+6	116.8E+6
841	C3		726	3.726E+6	4.655E+6	776200.	72.20E+6
			747	3.726E+6	4.655E+6	776200.	58.01E+6
842	C3		726	-3.853E+6	-2.849E+6	-1.070E+6	73.00E+6
			727	-3.853E+6	-2.849E+6	-1.070E+6	96.44E+6
844	C3		727	2.697E+6	5.011E+6	-525800.	81.50E+6
			748	2.697E+6	5.011E+6	-525800.	61.02E+6
845	C3		727	-2.848E+6	1.440E+6	263700.	84.99E+6
			728	-2.848E+6	1.440E+6	263700.	73.27E+6
847	C3		728	1.568E+6	5.964E+6	-1.918E+6	94.94E+6
			749	1.568E+6	5.964E+6	-1.918E+6	67.63E+6
848	C3		728	-1.707E+6	4.925E+6	1.699E+6	89.61E+6
			729	-1.707E+6	4.925E+6	1.699E+6	61.87E+6
850	C3		729	405000.	7.413E+6	-3.313E+6	112.0E+6
			750	405000.	7.413E+6	-3.313E+6	77.17E+6
851	C3		729	-435300.	7.532E+6	3.190E+6	87.51E+6
			730	-435300.	7.532E+6	3.190E+6	64.82E+6
853	C3		730	-428200.	8.985E+6	-4.549E+6	134.0E+6
			751	-428200.	8.985E+6	-4.549E+6	92.03E+6
854	C3		730	340300.	9.123E+6	4.501E+6	81.91E+6
			731	340300.	9.123E+6	4.501E+6	69.91E+6
856	C3		731	-77000.	10.30E+6	-5.390E+6	152.2E+6
			752	-77000.	10.30E+6	-5.390E+6	101.2E+6
857	C3		731	-1.173E+6	9.577E+6	5.138E+6	78.58E+6
			732	-1.173E+6	9.577E+6	5.138E+6	66.34E+6
859	C3		732	863900.	11.68E+6	-5.652E+6	174.3E+6
			753	863900.	11.68E+6	-5.652E+6	113.1E+6
860	C3		732	-1.865E+6	8.943E+6	5.021E+6	64.85E+6
			733	-1.865E+6	8.943E+6	5.021E+6	63.45E+6
862	C3		733	-496800.	13.62E+6	-5.384E+6	180.2E+6
			754	-496800.	13.62E+6	-5.384E+6	114.4E+6
863	C3		733	1.964E+6	7.093E+6	4.498E+6	46.20E+6
			734	1.964E+6	7.093E+6	4.498E+6	51.69E+6
865	C3		734	-1.869E+6	15.71E+6	-4.861E+6	203.0E+6
			755	-1.869E+6	15.71E+6	-4.861E+6	133.2E+6
866	C3		734	1.081E+6	4.215E+6	3.186E+6	21.29E+6
			735	1.081E+6	4.215E+6	3.186E+6	32.65E+6
868	C3		735	-1.183E+6	19.64E+6	-4.407E+6	213.1E+6
			756	-1.183E+6	19.64E+6	-4.407E+6	141.1E+6
870	C3		736	-1.758E+6	8.122E+6	-2.897E+6	41.46E+6
			757	-1.758E+6	8.122E+6	-2.897E+6	49.48E+6
871	C3		736	1.782E+6	6.043E+6	2.781E+6	47.94E+6
			737	1.782E+6	6.043E+6	2.781E+6	29.72E+6
873	C3		737	-1.802E+6	11.73E+6	-3.997E+6	59.78E+6
			758	-1.802E+6	11.73E+6	-3.997E+6	71.66E+6
874	C3		737	639700.	12.35E+6	5.095E+6	79.35E+6
			738	639700.	12.35E+6	5.095E+6	63.91E+6
876	C3		738	-722900.	18.02E+6	-6.989E+6	91.12E+6
			759	-722900.	18.02E+6	-6.989E+6	110.1E+6
877	C3		738	-489000.	18.44E+6	9.049E+6	109.4E+6
			739	-489000.	18.44E+6	9.049E+6	115.7E+6
879	C3		739	1.374E+6	34.00E+6	-13.39E+6	164.7E+6
			760	1.374E+6	34.00E+6	-13.39E+6	214.6E+6
880	C3		739	-4.060E+6	18.21E+6	12.59E+6	103.6E+6
			740	-4.060E+6	18.21E+6	12.59E+6	176.1E+6
882	C3		740	2.124E+6	81.37E+6	-8.647E+6	374.8E+6
			761	2.124E+6	81.37E+6	-8.647E+6	487.1E+6
883	C3		740	-507000.	-16.42E+6	-7.311E+6	156.9E+6
			741	-507000.	-16.42E+6	-7.311E+6	80.68E+6
885	C3		741	2.869E+6	44.75E+6	10.20E+6	248.4E+6
			762	2.869E+6	44.75E+6	10.20E+6	245.6E+6
886	C3		741	-5.392E+6	-25.43E+6	-11.18E+6	176.1E+6
			742	-5.392E+6	-25.43E+6	-11.18E+6	151.0E+6
888	C3		742	5.106E+6	28.27E+6	12.13E+6	168.1E+6
			763	5.106E+6	28.27E+6	12.13E+6	178.8E+6
889	C3		742	-5.841E+6	-26.36E+6	-9.969E+6	143.8E+6
			743	-5.841E+6	-26.36E+6	-9.969E+6	153.0E+6
891	C3		743	5.171E+6	15.81E+6	7.945E+6	98.32E+6
			764	5.171E+6	15.81E+6	7.945E+6	111.8E+6
892	C3		743	-5.598E+6	-22.52E+6	-6.891E+6	133.9E+6
			744	-5.598E+6	-22.52E+6	-6.891E+6	149.5E+6
894	C3		744	4.758E+6	9.319E+6	4.499E+6	59.48E+6
			765	4.758E+6	9.319E+6	4.499E+6	68.21E+6
895	C3		744	-5.152E+6	-17.94E+6	-4.447E+6	122.7E+6
			745	-5.152E+6	-17.94E+6	-4.447E+6	147.3E+6
897	C3		745	4.159E+6	6.628E+6	2.332E+6	53.34E+6
			766	4.159E+6	6.628E+6	2.332E+6	56.99E+6
898	C3		745	-4.523E+6	-14.15E+6	-2.719E+6	112.3E+6
			746	-4.523E+6	-14.15E+6	-2.719E+6	143.9E+6
900	C3		746	3.402E+6	6.132E+6	883300.	59.29E+6
			767	3.402E+6	6.132E+6	883300.	55.38E+6
901	C3		746	-3.713E+6	-8.982E+6	-1.293E+6	91.70E+6
			747	-3.713E+6	-8.982E+6	-1.293E+6	130.1E+6
903	C3		747	2.488E+6	5.798E+6	-426700.	64.96E+6
			768	2.488E+6	5.798E+6	-426700.	54.57E+6
904	C3		747	-2.749E+6	-3.448E+6	95230.	79.22E+6
			748	-2.749E+6	-3.448E+6	95230.	108.0E+6
906	C3		748	1.429E+6	6.630E+6	-1.910E+6	75.79E+6
			769	1.429E+6	6.630E+6	-1.910E+6	59.43E+6
907	C3		748	-1.646E+6	1.601E+6	1.579E+6	94.58E+6
			749	-1.646E+6	1.601E+6	1.579E+6	81.59E+6
909	C3		749	265900.	8.283E+6	-3.448E+6	90.87E+6
			770	265900.	8.283E+6	-3.448E+6	68.59E+6
910	C3		749	-423600.	5.949E+6	3.209E+6	102.4E+6
			750	-423600.	5.949E+6	3.209E+6	67.72E+6
912	C3		750	-897000.	10.59E+6	-5.079E+6	115.5E+6
			771	-897000.	10.59E+6	-5.079E+6	90.23E+6
913	C3		750	833800.	9.438E+6	4.925E+6	108.4E+6
			751	833800.	9.438E+6	4.925E+6	82.46E+6
915	C3		751	-1.667E+6	13.38E+6	-6.668E+6	144.3E+6
			772	-1.667E+6	13.38E+6	-6.668E+6	111.8E+6
916	C3		751	1.478E+6	11.71E+6	6.400E+6	106.2E+6
			752	1.478E+6	11.71E+6	6.400E+6	91.69E+6
918	C3		752	-1.234E+6	16.36E+6	-7.791E+6	169.3E+6
			773	-1.234E+6	16.36E+6	-7.791E+6	126.8E+6
919	C3		752	19800.	12.32E+6	6.943E+6	92.52E+6
			753	19800.	12.32E+6	6.943E+6	83.95E+6
921	C3		753	165300.	19.42E+6	-7.840E+6	193.0E+6
			774	165300.	19.42E+6	-7.840E+6	134.8E+6
922	C3		753	-1.675E+6	11.24E+6	6.276E+6	76.98E+6
			754	-1.675E+6	11.24E+6	6.276E+6	76.26E+6
924	C3		754	-1.146E+6	22.93E+6	-6.807E+6	205.1E+6
			775	-1.146E+6	22.93E+6	-6.807E+6	142.9E+6
925	C3		754	3.054E+6	8.582E+6	5.293E+6	56.95E+6
			755	3.054E+6	8.582E+6	5.293E+6	65.34E+6
927	C3		755	-2.456E+6	26.10E+6	-5.631E+6	231.8E+6
			776	-2.456E+6	26.10E+6	-5.631E+6	167.7E+6
928	C3		755	1.224E+6	4.853E+6	3.587E+6	23.61E+6
			756	1.224E+6	4.853E+6	3.587E+6	37.95E+6
930	C3		756	-1.413E+6	31.15E+6	-5.176E+6	239.9E+6
			777	-1.413E+6	31.15E+6	-5.176E+6	178.0E+6
932	C3		757	-871900.	5.212E+6	-848200.	25.27E+6
			778	-871900.	5.212E+6	-848200.	43.75E+6
933	C3		757	1.235E+6	6.244E+6	1.529E+6	47.61E+6
			758	1.235E+6	6.244E+6	1.529E+6	25.64E+6
935	C3		758	-80010.	6.448E+6	-1.104E+6	31.16E+6
			779	-80010.	6.448E+6	-1.104E+6	55.01E+6
936	C3		758	-102200.	14.89E+6	3.040E+6	94.38E+6
			759	-102200.	14.89E+6	3.040E+6	65.81E+6
938	C3		759	807400.	9.426E+6	-2.304E+6	49.90E+6
			780	807400.	9.426E+6	-2.304E+6	91.87E+6
939	C3		759	-880300.	26.51E+6	5.324E+6	165.3E+6
			760	-880300.	26.51E+6	5.324E+6	138.7E+6
941	C3		760	2.259E+6	14.26E+6	3.183E+6	74.13E+6
			781	2.259E+6	14.26E+6	3.183E+6	159.8E+6
942	C3		760	-4.758E+6	52.31E+6	-628900.	263.5E+6
			761	-4.758E+6	52.31E+6	-628900.	349.7E+6
944	C3		761	-946500.	-6.216E+6	-6.396E+6	110.3E+6
			782	-946500.	-6.216E+6	-6.396E+6	67.85E+6
945	C3		761	4.075E+6	-41.02E+6	14.88E+6	351.6E+6
			762	4.075E+6	-41.02E+6	14.88E+6	188.1E+6
947	C3		762	-5.216E+6	63.59E+6	-13.97E+6	293.5E+6
			783	-5.216E+6	63.59E+6	-13.97E+6	453.8E+6
948	C3		762	-2.760E+6	-46.32E+6	-14.50E+6	278.7E+6
			763	-2.760E+6	-46.32E+6	-14.50E+6	247.5E+6
950	C3		763	-599700.	24.05E+6	12.51E+6	116.0E+6
			784	-599700.	24.05E+6	12.51E+6	204.8E+6
951	C3		763	-3.521E+6	-39.04E+6	-10.27E+6	186.3E+6
			764	-3.521E+6	-39.04E+6	-10.27E+6	215.6E+6
953	C3		764	1.148E+6	8.570E+6	3.875E+6	48.15E+6
			785	1.148E+6	8.570E+6	3.875E+6	82.49E+6
954	C3		764	-3.796E+6	-28.57E+6	-5.226E+6	146.6E+6
			765	-3.796E+6	-28.57E+6	-5.226E+6	179.5E+6
956	C3		765	1.982E+6	5.318E+6	1.459E+6	31.95E+6
			786	1.982E+6	5.318E+6	1.459E+6	46.31E+6
957	C3		765	-3.744E+6	-21.22E+6	-2.831E+6	130.6E+6
			766	-3.744E+6	-21.22E+6	-2.831E+6	166.7E+6
959	C3		766	2.250E+6	4.571E+6	350000.	30.59E+6
			787	2.250E+6	4.571E+6	350000.	35.00E+6
960	C3		766	-3.386E+6	-15.84E+6	-1.399E+6	118.1E+6
			767	-3.386E+6	-15.84E+6	-1.399E+6	157.6E+6
962	C3		767	2.051E+6	4.417E+6	-728000.	40.77E+6
			788	2.051E+6	4.417E+6	-728000.	37.60E+6
963	C3		767	-2.739E+6	-10.62E+6	-150300.	99.78E+6
			768	-2.739E+6	-10.62E+6	-150300.	145.2E+6
965	C3		768	1.483E+6	5.818E+6	-1.919E+6	54.86E+6
			789	1.483E+6	5.818E+6	-1.919E+6	46.06E+6
966	C3		768	-1.863E+6	-4.015E+6	1.180E+6	86.59E+6
			769	-1.863E+6	-4.015E+6	1.180E+6	120.3E+6
968	C3		769	639300.	7.452E+6	-3.163E+6	68.52E+6
			790	639300.	7.452E+6	-3.163E+6	55.08E+6
969	C3		769	-791700.	1.840E+6	2.706E+6	106.0E+6
			770	-791700.	1.840E+6	2.706E+6	91.12E+6
971	C3		770	-405300.	9.613E+6	-4.690E+6	84.05E+6
			791	-405300.	9.613E+6	-4.690E+6	73.27E+6
972	C3		770	424100.	7.176E+6	4.499E+6	121.5E+6
			771	424100.	7.176E+6	4.499E+6	79.82E+6
974	C3		771	-1.491E+6	12.54E+6	-6.520E+6	110.7E+6
			792	-1.491E+6	12.54E+6	-6.520E+6	97.08E+6
975	C3		771	1.631E+6	11.90E+6	6.570E+6	134.8E+6
			772	1.631E+6	11.90E+6	6.570E+6	102.0E+6
977	C3		772	-2.188E+6	16.54E+6	-8.691E+6	140.9E+6
			793	-2.188E+6	16.54E+6	-8.691E+6	123.0E+6
978	C3		772	2.181E+6	15.41E+6	8.611E+6	134.3E+6
			773	2.181E+6	15.41E+6	8.611E+6	115.7E+6
980	C3		773	-1.668E+6	21.99E+6	-10.81E+6	173.9E+6
			794	-1.668E+6	21.99E+6	-10.81E+6	147.2E+6
981	C3		773	724300.	16.44E+6	9.490E+6	113.5E+6
			774	724300.	16.44E+6	9.490E+6	110.2E+6
983	C3		774	378300.	28.46E+6	-11.13E+6	215.5E+6
			795	378300.	28.46E+6	-11.13E+6	161.9E+6
984	C3		774	-2.337E+6	14.10E+6	7.884E+6	91.64E+6
			775	-2.337E+6	14.10E+6	7.884E+6	95.06E+6
986	C3		775	-845000.	34.18E+6	-7.859E+6	226.8E+6
			796	-845000.	34.18E+6	-7.859E+6	167.2E+6
987	C3		775	3.745E+6	9.701E+6	5.588E+6	61.40E+6
			776	3.745E+6	9.701E+6	5.588E+6	75.31E+6
989	C3		776	-2.050E+6	37.95E+6	-4.810E+6	251.3E+6
			797	-2.050E+6	37.95E+6	-4.810E+6	200.0E+6
990	C3		776	396200.	4.572E+6	3.179E+6	19.42E+6
			777	396200.	4.572E+6	3.179E+6	33.92E+6
992	C3		777	-957700.	42.48E+6	-4.755E+6	248.0E+6
			798	-957700.	42.48E+6	-4.755E+6	208.0E+6
994	C3		778	4.487E+6	2.832E+6	2.518E+6	39.49E+6
			799	4.487E+6	2.832E+6	2.518E+6	43.03E+6
995	C3		778	-2.918E+6	5.730E+6	-904600.	52.16E+6
			779	-2.918E+6	5.730E+6	-904600.	25.47E+6
997	C3		779	7.259E+6	243700.	3.419E+6	58.78E+6
			800	7.259E+6	243700.	3.419E+6	56.33E+6
998	C3		779	-4.251E+6	15.07E+6	-1.748E+6	110.8E+6
			780	-4.251E+6	15.07E+6	-1.748E+6	72.97E+6
1000	C3		780	9.135E+6	-4.722E+6	6.149E+6	108.9E+6
			801	9.135E+6	-4.722E+6	6.149E+6	68.71E+6
1001	C3		780	-5.511E+6	33.67E+6	-4.433E+6	198.2E+6
			781	-5.511E+6	33.67E+6	-4.433E+6	191.9E+6
1003	C3		781	10.81E+6	-12.70E+6	3.842E+6	176.3E+6
			802	10.81E+6	-12.70E+6	3.842E+6	110.6E+6
1004	C3		781	-6.976E+6	22.80E+6	-3.015E+6	135.8E+6
			782	-6.976E+6	22.80E+6	-3.015E+6	178.2E+6
1006	C3		782	11.05E+6	-5.609E+6	7.269E+6	138.9E+6
			803	11.05E+6	-5.609E+6	7.269E+6	87.69E+6
1007	C3		782	-3.218E+6	23.86E+6	1.744E+6	85.99E+6
			783	-3.218E+6	23.86E+6	1.744E+6	223.6E+6
1009	C3		783	12.66E+6	-63.99E+6	10.19E+6	472.0E+6
			804	12.66E+6	-63.99E+6	10.19E+6	332.0E+6
1010	C3		783	-4.182E+6	-104.7E+6	1.711E+6	649.4E+6
			784	-4.182E+6	-104.7E+6	1.711E+6	484.6E+6
1012	C3		784	8.893E+6	-20.73E+6	-13.47E+6	222.6E+6
			805	8.893E+6	-20.73E+6	-13.47E+6	126.5E+6
1013	C3		784	-4.333E+6	-46.57E+6	-89030.	223.1E+6
			785	-4.333E+6	-46.57E+6	-89030.	285.0E+6
1015	C3		785	7.335E+6	-3.894E+6	-3.956E+6	95.23E+6
			806	7.335E+6	-3.894E+6	-3.956E+6	60.17E+6
1016	C3		785	-4.404E+6	-32.34E+6	-497200.	149.1E+6
			786	-4.404E+6	-32.34E+6	-497200.	195.0E+6
1018	C3		786	6.337E+6	252700.	-1.763E+6	48.15E+6
			807	6.337E+6	252700.	-1.763E+6	47.45E+6
1019	C3		786	-4.256E+6	-23.79E+6	-367000.	137.7E+6
			787	-4.256E+6	-23.79E+6	-367000.	179.7E+6
1021	C3		787	5.435E+6	2.304E+6	-1.551E+6	31.71E+6
			808	5.435E+6	2.304E+6	-1.551E+6	37.61E+6
1022	C3		787	-3.834E+6	-18.16E+6	130700.	128.6E+6
			788	-3.834E+6	-18.16E+6	130700.	173.6E+6
1024	C3		788	4.482E+6	4.393E+6	-1.904E+6	45.99E+6
			809	4.482E+6	4.393E+6	-1.904E+6	44.79E+6
1025	C3		788	-3.135E+6	-11.65E+6	954300.	107.6E+6
			789	-3.135E+6	-11.65E+6	954300.	159.0E+6
1027	C3		789	3.431E+6	5.629E+6	-2.641E+6	55.21E+6
			810	3.431E+6	5.629E+6	-2.641E+6	49.67E+6
1028	C3		789	-2.223E+6	-4.779E+6	2.082E+6	95.08E+6
			790	-2.223E+6	-4.779E+6	2.082E+6	135.2E+6
1030	C3		790	2.280E+6	7.476E+6	-3.812E+6	66.28E+6
			811	2.280E+6	7.476E+6	-3.812E+6	57.28E+6
1031	C3		790	-1.130E+6	1.865E+6	3.526E+6	119.7E+6
			791	-1.130E+6	1.865E+6	3.526E+6	104.6E+6
1033	C3		791	1.064E+6	9.838E+6	-5.216E+6	79.23E+6
			812	1.064E+6	9.838E+6	-5.216E+6	67.45E+6
1034	C3		791	82280.	8.307E+6	5.349E+6	138.3E+6
			792	82280.	8.307E+6	5.349E+6	88.01E+6
1036	C3		792	-84350.	12.85E+6	-6.985E+6	94.96E+6
			813	-84350.	12.85E+6	-6.985E+6	87.59E+6
1037	C3		792	1.223E+6	14.66E+6	7.708E+6	158.6E+6
			793	1.223E+6	14.66E+6	7.708E+6	116.0E+6
1039	C3		793	-779000.	17.21E+6	-9.506E+6	117.3E+6
			814	-779000.	17.21E+6	-9.506E+6	115.2E+6
1040	C3		793	1.674E+6	20.66E+6	10.74E+6	166.3E+6
			794	1.674E+6	20.66E+6	10.74E+6	139.1E+6
1042	C3		794	-240400.	25.12E+6	-13.44E+6	159.8E+6
			815	-240400.	25.12E+6	-13.44E+6	152.3E+6
1043	C3		794	204100.	24.18E+6	13.42E+6	155.2E+6
			795	204100.	24.18E+6	13.42E+6	146.6E+6
1045	C3		795	2.526E+6	39.41E+6	-17.19E+6	241.8E+6
			816	2.526E+6	39.41E+6	-17.19E+6	201.7E+6
1046	C3		795	-4.720E+6	19.69E+6	11.01E+6	117.4E+6
			796	-4.720E+6	19.69E+6	11.01E+6	134.3E+6
