442	0	0	2
443	2	0	2
444	4	0	2
445	6	0	2
446	8	0	2
447	10	0	2
448	12	0	2
449	14	0	2
450	16	0	2
451	18	0	2
452	20	0	2
453	22	0	2
454	24	0	2
455	26	0	2
456	28	0	2
457	30	0	2
458	32	0	2
459	34	0	2
460	36	0	2
461	38	0	2
462	40	0	2
463	0	2	2
464	2	2	2
465	4	2	2
466	6	2	2
467	8	2	2
468	10	2	2
469	12	2	2
470	14	2	2
471	16	2	2
472	18	2	2
473	20	2	2
474	22	2	2
475	24	2	2
476	26	2	2
477	28	2	2
478	30	2	2
479	32	2	2
480	34	2	2
481	36	2	2
482	38	2	2
483	40	2	2
484	0	4	2
485	2	4	2
486	4	4	2
487	6	4	2
488	8	4	2
489	10	4	2
490	12	4	2
491	14	4	2
492	16	4	2
493	18	4	2
494	20	4	2
495	22	4	2
496	24	4	2
497	26	4	2
498	28	4	2
499	30	4	2
500	32	4	2
501	34	4	2
502	36	4	2
503	38	4	2
504	40	4	2
505	0	6	2
506	2	6	2
507	4	6	2
508	6	6	2
509	8	6	2
510	10	6	2
511	12	6	2
512	14	6	2
513	16	6	2
514	18	6	2
515	20	6	2
516	22	6	2
517	24	6	2
518	26	6	2
519	28	6	2
520	30	6	2
521	32	6	2
522	34	6	2
523	36	6	2
524	38	6	2
525	40	6	2
526	0	8	2
527	2	8	2
528	4	8	2
529	6	8	2
530	8	8	2
531	10	8	2
532	12	8	2
533	14	8	2
534	16	8	2
535	18	8	2
536	20	8	2
537	22	8	2
538	24	8	2
539	26	8	2
540	28	8	2
541	30	8	2
542	32	8	2
543	34	8	2
544	36	8	2
545	38	8	2
546	40	8	2
547	0	10	2
548	2	10	2
549	4	10	2
550	6	10	2
551	8	10	2
552	10	10	2
553	12	10	2
554	14	10	2
555	16	10	2
556	18	10	2
557	20	10	2
558	22	10	2
559	24	10	2
560	26	10	2
561	28	10	2
562	30	10	2
563	32	10	2
564	34	10	2
565	36	10	2
566	38	10	2
567	40	10	2
568	0	12	2
569	2	12	2
570	4	12	2
571	6	12	2
572	8	12	2
573	10	12	2
574	12	12	2
575	14	12	2
576	16	12	2
577	18	12	2
578	20	12	2
579	22	12	2
580	24	12	2
581	26	12	2
582	28	12	2
583	30	12	2
584	32	12	2
585	34	12	2
586	36	12	2
587	38	12	2
588	40	12	2
589	0	14	2
590	2	14	2
591	4	14	2
592	6	14	2
593	8	14	2
594	10	14	2
595	12	14	2
596	14	14	2
597	16	14	2
598	18	14	2
599	20	14	2
600	22	14	2
