597		16.00	14.00	2.000	Global			
598		18.00	14.00	2.000	Global			
599		20.00	14.00	2.000	Global			
600		22.00	14.00	2.000	Global			
601		24.00	14.00	2.000	Global			
602		26.00	14.00	2.000	Global			
603		28.00	14.00	2.000	Global			
604		30.00	14.00	2.000	Global			
605		32.00	14.00	2.000	Global			
606		34.00	14.00	2.000	Global			
607		36.00	14.00	2.000	Global			
608		38.00	14.00	2.000	Global			
609		40.00	14.00	2.000	Global			
610		0.0	16.00	2.000	Global			
611		2.000	16.00	2.000	Global			
612		4.000	16.00	2.000	Global			
613		6.000	16.00	2.000	Global			
614		8.000	16.00	2.000	Global			
615		10.00	16.00	2.000	Global			
616		12.00	16.00	2.000	Global			
617		14.00	16.00	2.000	Global			
618		16.00	16.00	2.000	Global			
619		18.00	16.00	2.000	Global			
620		20.00	16.00	2.000	Global			
621		22.00	16.00	2.000	Global			
622		24.00	16.00	2.000	Global			
623		26.00	16.00	2.000	Global			
624		28.00	16.00	2.000	Global			
625		30.00	16.00	2.000	Global			
626		32.00	16.00	2.000	Global			
627		34.00	16.00	2.000	Global			
628		36.00	16.00	2.000	Global			
629		38.00	16.00	2.000	Global			
630		40.00	16.00	2.000	Global			
631		0.0	18.00	2.000	Global			
632		2.000	18.00	2.000	Global			
633		4.000	18.00	2.000	Global			
634		6.000	18.00	2.000	Global			
635		8.000	18.00	2.000	Global			
636		10.00	18.00	2.000	Global			
637		12.00	18.00	2.000	Global			
638		14.00	18.00	2.000	Global			
639		16.00	18.00	2.000	Global			
640		18.00	18.00	2.000	Global			
641		20.00	18.00	2.000	Global			
642		22.00	18.00	2.000	Global			
643		24.00	18.00	2.000	Global			
644		26.00	18.00	2.000	Global			
645		28.00	18.00	2.000	Global			
646		30.00	18.00	2.000	Global			
647		32.00	18.00	2.000	Global			
648		34.00	18.00	2.000	Global			
649		36.00	18.00	2.000	Global			
650		38.00	18.00	2.000	Global			
651		40.00	18.00	2.000	Global			
652		0.0	20.00	2.000	Global			
653		2.000	20.00	2.000	Global			
654		4.000	20.00	2.000	Global			
655		6.000	20.00	2.000	Global			
656		8.000	20.00	2.000	Global			
657		10.00	20.00	2.000	Global			
658		12.00	20.00	2.000	Global			
659		14.00	20.00	2.000	Global			
660		16.00	20.00	2.000	Global			
661		18.00	20.00	2.000	Global			
662		20.00	20.00	2.000	Global			
663		22.00	20.00	2.000	Global			
664		24.00	20.00	2.000	Global			
665		26.00	20.00	2.000	Global			
666		28.00	20.00	2.000	Global			
667		30.00	20.00	2.000	Global			
668		32.00	20.00	2.000	Global			
669		34.00	20.00	2.000	Global			
670		36.00	20.00	2.000	Global			
671		38.00	20.00	2.000	Global			
672		40.00	20.00	2.000	Global			
673		0.0	22.00	2.000	Global			
674		2.000	22.00	2.000	Global			
675		4.000	22.00	2.000	Global			
676		6.000	22.00	2.000	Global			
677		8.000	22.00	2.000	Global			
678		10.00	22.00	2.000	Global			
679		12.00	22.00	2.000	Global			
680		14.00	22.00	2.000	Global			
681		16.00	22.00	2.000	Global			
682		18.00	22.00	2.000	Global			
683		20.00	22.00	2.000	Global			
684		22.00	22.00	2.000	Global			
685		24.00	22.00	2.000	Global			
686		26.00	22.00	2.000	Global			
687		28.00	22.00	2.000	Global			
