{160717.203955, -37882.662103, 595489.977539}
{55337.203674, -51472.858154, 591164.99502}
{14409.712468, -37882.46258, 591217.66183}
{160717.203955, -37882.46258, 595489.977539}
{160717.203955, -37882.662103, 595489.977539}
{111587.291162, -52690.518713, 592914.990527}
{55337.203674, -51472.858154, 591164.99502}
{140028.420264, -58571.44812, 590824.997168}
{160717.203955, -37882.662103, 595489.977539}
{111587.291162, -52690.518713, 592914.990527}
{140028.420264, -58571.44812, 590824.997168}
{145909.410132, -87012.465601, 592840.018359}
{160717.203955, -37882.662103, 595489.977539}
{145909.410132, -87012.465601, 592840.018359}
{147127.865991, -143299.113647, 590264.994141}
{160717.203955, -37882.69931, 595490.014746}
{160717.203955, -140370.631934, 591540.004688}
{147127.865991, -143299.113647, 590264.994141}
{160717.203955, -37882.69931, 595490.014746}
{160717.203955, -140370.631934, 591540.004688}
{160717.203955, -37882.662103, 595489.977539}
{182018.99209, -65455.293054, 592440.005566}
