1	CAT SHS SHS350x350x12.5 - S/S
2	CAT SHS SHS350x350x12.5 - S/S
3	CAT SHS SHS350x350x12.5 - S/S
4	CAT CHS CHS457x20.0 - S/S
5	CAT CHS CHS457x20.0 - S/S
